,year,P_copernicus,P_copernicus_completed,P_schelde,month,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
156,2003,0.350373867,0.350373867,0.029181818,12,0.574788376,0.914957675,0.82991535,0.744873026,0.624513619,0.924902724,0.849805447,0.774708171
157,2004,0.354230529,0.354230529,0.022727273,1,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
158,2004,0.354230529,0.354230529,0.022727273,2,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
159,2004,0.354230529,0.354230529,0.022727273,3,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
160,2004,0.354230529,0.354230529,0.022727273,4,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
161,2004,0.354230529,0.354230529,0.022727273,5,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
162,2004,0.354230529,0.354230529,0.022727273,6,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
163,2004,0.354230529,0.354230529,0.022727273,7,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
164,2004,0.354230529,0.354230529,0.022727273,8,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
165,2004,0.354230529,0.354230529,0.022727273,9,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
166,2004,0.354230529,0.354230529,0.022727273,10,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
167,2004,0.354230529,0.354230529,0.022727273,11,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
168,2004,0.354230529,0.354230529,0.022727273,12,0.58111523,0.916223046,0.832446092,0.748669138,0.486381323,0.897276265,0.794552529,0.691828794
169,2005,0.285969332,0.285969332,0.026363636,1,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
170,2005,0.285969332,0.285969332,0.026363636,2,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
171,2005,0.285969332,0.285969332,0.026363636,3,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
172,2005,0.285969332,0.285969332,0.026363636,4,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
173,2005,0.285969332,0.285969332,0.026363636,5,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
174,2005,0.285969332,0.285969332,0.026363636,6,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
