EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
Date,"04/03/2024 13:31:46"
ModelName,EMBENS_SP_DL
EcosimScenario,EMBENS_DL_test_1
TimeSeries,time_series_1991-2021_raja_incl_1991_2018
StartYear,1991

Timestep,"biomass (predicted) Cod.adult_B_rel","biomass (observed) Cod.adult_B_rel","biomass (predicted) Herring.adult_B_rel","biomass (observed) Herring.adult_B_rel","biomass (predicted) Whiting.adult_B_rel","biomass (observed) Whiting.adult_B_rel","biomass (predicted) Mackerel_B_rel","biomass (observed) Mackerel_B_rel","biomass (predicted) Sprat_B_rel","biomass (observed) Sprat_B_rel","biomass (predicted) Plaice.adult_B_rel","biomass (observed) Plaice.adult_B_rel","biomass (predicted) Sole.adult_B_rel","biomass (observed) Sole.adult_B_rel","biomass (predicted) OtherFlatfish_B_rel","biomass (observed) OtherFlatfish_B_rel","biomass (predicted) Dab_B_rel","biomass (observed) Dab_B_rel","biomass (predicted) Rays_B_rel","biomass (observed) Rays_B_rel","biomass (predicted) Sharks_B_rel","biomass (observed) Sharks_B_rel","biomass (predicted) OtherGadoids_B_rel","biomass (observed) OtherGadoids_B_rel","biomass (predicted) DemersalFish_B_rel","biomass (observed) DemersalFish_B_rel","biomass (predicted) SeaBass_B_rel","biomass (observed) SeaBass_B_rel","biomass (predicted) HorseMackerel_B_rel","biomass (observed) HorseMackerel_B_rel","biomass (predicted) PelagicFish_B_rel","biomass (observed) PelagicFish_B_rel","biomass (predicted) Sandeels_B_rel","biomass (observed) Sandeels_B_rel",
71,0.3513385,,1.192142,,0.5778409,,0.5625191,,0.2768103,,0.7270057,,0.4819628,,0.2987889,,18.04575,,1.143296,,0.01520133,,0.3588537,,0.999074,,0.009808827,,1.723616,,0.05535303,,6.052526,,
72,0.352626,,1.167476,,0.5799551,,0.5641936,,0.2792802,,0.7252396,,0.4744722,,0.3030554,,18.34898,,1.115238,,0.01525233,,0.3641718,,1.07058,,0.009982111,,1.675898,,0.05661937,,6.099692,,
73,0.3524167,,1.151206,,0.5845034,,0.5656451,,0.2886508,,0.7241941,,0.4661883,,0.307183,,18.65379,,1.088996,,0.01530178,,0.3692364,,1.147881,,0.01017543,,1.632381,,0.05755065,,6.127243,,
74,0.3512282,,1.143275,,0.5871953,,0.5667988,,0.2970825,,0.7236875,,0.4566148,,0.3110121,,18.95942,,1.064365,,0.01534831,,0.3738533,,1.229431,,0.01035858,,1.594202,,0.05836455,,6.134511,,
75,0.349341,,1.143578,,0.5903183,,0.5676135,,0.304516,,0.7236147,,0.4457269,,0.3145483,,19.26534,,1.040986,,0.01539163,,0.3778425,,1.312753,,0.01052733,,1.56198,,0.05901604,,6.120166,,
76,0.3469625,,1.150986,,0.5940296,,0.5681298,,0.3108401,,0.7239414,,0.4335146,,0.3178913,,19.57145,,1.018868,,0.01543572,,0.3810506,,1.395598,,0.01069927,,1.536122,,0.05950119,,6.081836,,
77,0.3440226,,1.163856,,0.5974408,,0.5683312,,0.3160487,,0.7245488,,0.4208888,,0.3211196,,19.87764,,0.9984354,,0.01548135,,0.3833988,,1.476189,,0.01088078,,1.516843,,0.05982772,,6.022428,,
78,0.3405451,0.2251448,1.180383,0.9339955,0.6008659,0.2619593,0.568198,0.2816814,0.3202034,0.04436808,0.7253701,0.5332437,0.4088092,,0.3242961,,20.18378,,0.9802582,,0.01552828,0.004230709,0.3848666,0.2043984,1.553208,0.8134989,0.01107745,0.005543678,1.504182,1.36291,0.06001927,1.898053,5.947914,0.5071663,
79,0.336594,,1.19886,,0.6045865,,0.5677207,,0.3233979,,0.726299,,0.3984694,,0.3274465,,20.48942,,0.9647885,,0.01557566,,0.3854716,,1.625196,,0.01128951,,1.497984,,0.06009068,,5.865239,,
80,0.332217,,1.217897,,0.6082606,,0.5669084,,0.3257209,,0.7272145,,0.3905407,,0.330541,,20.7937,,0.9522905,,0.01562251,,0.3852466,,1.690292,,0.01151305,,1.497951,,0.06004106,,5.780316,,
