"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"UK - Eng+Wales+N.Irl.","Blue ling",0,0,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","European conger",1,1,0.5,1,4,2,2,2,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","European eel",45,26,25,26,36,19,13,6,1,0.5,1,1,0.5,0.5,0,0.5,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","European hake",1,4,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Greater forkbeard",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Greater weever",0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Groundfishes nei",61,46,65,56,84,28,27,24,28,10,17,11,13,9,10,2,6,0.5,2,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Gurnards, searobins nei",38,23,12,21,24,12,10,6,3,7,4,5,4,5,7,11,5,4,15,12,"Demersal fish"
"UK - Eng+Wales+N.Irl.","John dory",0.5,1,1,2,2,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Ling",8,13,7,12,20,8,5,4,1,2,1,1,1,0,0,0.5,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Lumpfish(=Lumpsucker)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Mullets nei",13,11,12,22,25,12,9,6,5,5,3,8,9,5,3,9,15,14,9,16,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Patagonian toothfish",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Porgies, seabreams nei",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1,8,0,0.5,0.5,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Red gurnard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Sea trout",0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Tusk(=Cusk)",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Wrasses, hogfishes, etc. nei",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,"Demersal fish"
"UK - Eng+Wales+N.Irl.","Wreckfish",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Angler(=Monk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Atlantic redfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Atlantic wolffish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Blackspot(=red) seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Blue ling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Demersal percomorphs nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","European conger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","European eel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","European hake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
