Year,Month,scenario,variable
2048,10,SSP2-4.5,16.38693972
2048,11,SSP2-4.5,13.19163632
2048,12,SSP2-4.5,9.912041019
2049,1,SSP2-4.5,7.718128784
2049,2,SSP2-4.5,6.92699429
2049,3,SSP2-4.5,6.948342136
2049,4,SSP2-4.5,8.258795965
2049,5,SSP2-4.5,11.31755679
2049,6,SSP2-4.5,14.9653597
2049,7,SSP2-4.5,18.10334728
2049,8,SSP2-4.5,19.31688031
2049,9,SSP2-4.5,18.34237794
2049,10,SSP2-4.5,15.93968274
2049,11,SSP2-4.5,12.78018035
2049,12,SSP2-4.5,9.922895413
2050,1,SSP2-4.5,7.840224062
2050,2,SSP2-4.5,6.453650538
2050,3,SSP2-4.5,6.644566582
2050,4,SSP2-4.5,8.371356101
2050,5,SSP2-4.5,11.3326927
2050,6,SSP2-4.5,15.10723705
2050,7,SSP2-4.5,17.94413056
2050,8,SSP2-4.5,19.17101507
2050,9,SSP2-4.5,17.91994783
2050,10,SSP2-4.5,15.89399921
2050,11,SSP2-4.5,12.90228566
2050,12,SSP2-4.5,9.917762363
2051,1,SSP2-4.5,8.173355707
2051,2,SSP2-4.5,6.993032836
2051,3,SSP2-4.5,6.936086592
2051,4,SSP2-4.5,8.177548842
2051,5,SSP2-4.5,11.33408712
2051,6,SSP2-4.5,15.03162681
2051,7,SSP2-4.5,17.87665802
2051,8,SSP2-4.5,19.14928365
2051,9,SSP2-4.5,18.42277255
2051,10,SSP2-4.5,16.28797542
2051,11,SSP2-4.5,13.10870155
2051,12,SSP2-4.5,9.94978058
2052,1,SSP2-4.5,7.887606473
2052,2,SSP2-4.5,6.611496845
2052,3,SSP2-4.5,6.742451825
2052,4,SSP2-4.5,8.292050518
2052,5,SSP2-4.5,11.21866664
2052,6,SSP2-4.5,14.98268254
2052,7,SSP2-4.5,18.02604641
2052,8,SSP2-4.5,19.42882482
2052,9,SSP2-4.5,18.6650018
2052,10,SSP2-4.5,16.56675834
2052,11,SSP2-4.5,13.22740993
2052,12,SSP2-4.5,10.20488968
2053,1,SSP2-4.5,8.290592045
2053,2,SSP2-4.5,6.822528304
2053,3,SSP2-4.5,6.91598818
2053,4,SSP2-4.5,8.334519432
2053,5,SSP2-4.5,11.50481085
2053,6,SSP2-4.5,15.07544372
2053,7,SSP2-4.5,18.18030609
2053,8,SSP2-4.5,19.45537613
2053,9,SSP2-4.5,18.41704737
2053,10,SSP2-4.5,15.96622748
2053,11,SSP2-4.5,12.74593433
2053,12,SSP2-4.5,9.638760295
2054,1,SSP2-4.5,7.484033944
2054,2,SSP2-4.5,6.428491888
2054,3,SSP2-4.5,6.586487494
2054,4,SSP2-4.5,8.275717132
2054,5,SSP2-4.5,11.13224432
2054,6,SSP2-4.5,14.65400174
2054,7,SSP2-4.5,17.55655129
2054,8,SSP2-4.5,19.08426918
2054,9,SSP2-4.5,18.23110389
2054,10,SSP2-4.5,15.89087725
2054,11,SSP2-4.5,12.68944268
2054,12,SSP2-4.5,9.773822692
2055,1,SSP2-4.5,8.008265669
2055,2,SSP2-4.5,6.731313571
2055,3,SSP2-4.5,6.622745405
2055,4,SSP2-4.5,8.34845331
2055,5,SSP2-4.5,11.34498541
2055,6,SSP2-4.5,15.28597622
2055,7,SSP2-4.5,18.09917888
2055,8,SSP2-4.5,19.5621107
2055,9,SSP2-4.5,18.60069734
2055,10,SSP2-4.5,16.06173664
2055,11,SSP2-4.5,12.85354301
2055,12,SSP2-4.5,9.876062807
2056,1,SSP2-4.5,7.734818084
2056,2,SSP2-4.5,6.823990847
2056,3,SSP2-4.5,6.890134825
2056,4,SSP2-4.5,8.425468516
2056,5,SSP2-4.5,11.36031134
2056,6,SSP2-4.5,15.26578412
2056,7,SSP2-4.5,18.04677222
2056,8,SSP2-4.5,19.2038142
2056,9,SSP2-4.5,18.59774429
2056,10,SSP2-4.5,16.23442968
2056,11,SSP2-4.5,13.03595213
2056,12,SSP2-4.5,10.23071841
2057,1,SSP2-4.5,7.975124553
2057,2,SSP2-4.5,7.031564813
2057,3,SSP2-4.5,7.098802164
2057,4,SSP2-4.5,8.671921327
2057,5,SSP2-4.5,11.54102123
2057,6,SSP2-4.5,15.27550985
2057,7,SSP2-4.5,18.50808358
2057,8,SSP2-4.5,19.56594898
2057,9,SSP2-4.5,18.68197589
2057,10,SSP2-4.5,16.38098761
2057,11,SSP2-4.5,13.25867494
2057,12,SSP2-4.5,10.33830593
2058,1,SSP2-4.5,8.262181708
2058,2,SSP2-4.5,7.228373956
2058,3,SSP2-4.5,7.115763703
2058,4,SSP2-4.5,8.438972732
2058,5,SSP2-4.5,11.26335388
2058,6,SSP2-4.5,15.34001875
2058,7,SSP2-4.5,18.45130894
2058,8,SSP2-4.5,19.68553334
2058,9,SSP2-4.5,18.64640303
2058,10,SSP2-4.5,16.33083432
2058,11,SSP2-4.5,13.00591513
2058,12,SSP2-4.5,10.23386226
2059,1,SSP2-4.5,8.149267492
2059,2,SSP2-4.5,7.07940867
2059,3,SSP2-4.5,6.931039778
