Year,Month,scenario,variable,rownum
2045,2,SSP1-2.6,6.472885421,626
2045,3,SSP1-2.6,6.664869769,627
2045,4,SSP1-2.6,8.18194698,628
2045,5,SSP1-2.6,11.03534164,629
2045,6,SSP1-2.6,14.88050017,630
2045,7,SSP1-2.6,17.94452046,631
2045,8,SSP1-2.6,19.28613052,632
2045,9,SSP1-2.6,18.49395138,633
2045,10,SSP1-2.6,16.12721536,634
2045,11,SSP1-2.6,12.75880263,635
2045,12,SSP1-2.6,9.843159158,636
2046,1,SSP1-2.6,7.436470415,637
2046,2,SSP1-2.6,6.418317385,638
2046,3,SSP1-2.6,6.586839232,639
2046,4,SSP1-2.6,8.137608608,640
2046,5,SSP1-2.6,11.12410935,641
2046,6,SSP1-2.6,14.64634538,642
2046,7,SSP1-2.6,18.08845264,643
2046,8,SSP1-2.6,19.4058325,644
2046,9,SSP1-2.6,18.43914331,645
2046,10,SSP1-2.6,16.05477573,646
2046,11,SSP1-2.6,12.7401161,647
2046,12,SSP1-2.6,9.700954514,648
2047,1,SSP1-2.6,7.523919048,649
2047,2,SSP1-2.6,6.296819344,650
2047,3,SSP1-2.6,6.619376602,651
2047,4,SSP1-2.6,8.188144373,652
2047,5,SSP1-2.6,11.1791248,653
2047,6,SSP1-2.6,14.94653104,654
2047,7,SSP1-2.6,18.40371069,655
2047,8,SSP1-2.6,19.23342449,656
2047,9,SSP1-2.6,18.15343803,657
2047,10,SSP1-2.6,15.9979483,658
2047,11,SSP1-2.6,12.82190681,659
2047,12,SSP1-2.6,9.79228572,660
2048,1,SSP1-2.6,7.349878874,661
2048,2,SSP1-2.6,6.251176849,662
2048,3,SSP1-2.6,6.437861691,663
2048,4,SSP1-2.6,7.976902341,664
2048,5,SSP1-2.6,11.19483201,665
2048,6,SSP1-2.6,15.29387262,666
2048,7,SSP1-2.6,17.97227664,667
2048,8,SSP1-2.6,19.18694002,668
2048,9,SSP1-2.6,17.96835904,669
2048,10,SSP1-2.6,15.77333941,670
2048,11,SSP1-2.6,12.41117131,671
2048,12,SSP1-2.6,9.766924516,672
2049,1,SSP1-2.6,7.923466157,673
2049,2,SSP1-2.6,6.693339887,674
2049,3,SSP1-2.6,6.615084174,675
2049,4,SSP1-2.6,7.993311148,676
2049,5,SSP1-2.6,11.07353634,677
2049,6,SSP1-2.6,15.0704553,678
2049,7,SSP1-2.6,17.98795227,679
2049,8,SSP1-2.6,19.4152339,680
2049,9,SSP1-2.6,18.45759022,681
2049,10,SSP1-2.6,16.04624193,682
2049,11,SSP1-2.6,12.83597345,683
2049,12,SSP1-2.6,9.987838874,684
2050,1,SSP1-2.6,7.890734717,685
2050,2,SSP1-2.6,6.629097465,686
2050,3,SSP1-2.6,6.877285761,687
2050,4,SSP1-2.6,8.223415095,688
2050,5,SSP1-2.6,11.15872072,689
2050,6,SSP1-2.6,14.75996053,690
2050,7,SSP1-2.6,18.24777683,691
2050,8,SSP1-2.6,19.2722702,692
2050,9,SSP1-2.6,18.52364845,693
2050,10,SSP1-2.6,16.28179968,694
2050,11,SSP1-2.6,12.90036065,695
2050,12,SSP1-2.6,9.754895874,696
2051,1,SSP1-2.6,7.904028643,697
2051,2,SSP1-2.6,6.818637605,698
2051,3,SSP1-2.6,6.740401132,699
2051,4,SSP1-2.6,8.328926317,700
2051,5,SSP1-2.6,11.09210092,701
2051,6,SSP1-2.6,14.77065163,702
2051,7,SSP1-2.6,18.19901087,703
2051,8,SSP1-2.6,19.1027049,704
2051,9,SSP1-2.6,18.30549581,705
2051,10,SSP1-2.6,15.81560376,706
2051,11,SSP1-2.6,12.55521469,707
2051,12,SSP1-2.6,9.598567122,708
2052,1,SSP1-2.6,7.643903332,709
2052,2,SSP1-2.6,6.625394823,710
2052,3,SSP1-2.6,6.695295396,711
2052,4,SSP1-2.6,8.153850549,712
2052,5,SSP1-2.6,11.18825573,713
2052,6,SSP1-2.6,14.79275656,714
2052,7,SSP1-2.6,17.95587613,715
2052,8,SSP1-2.6,19.19427827,716
2052,9,SSP1-2.6,18.35252512,717
2052,10,SSP1-2.6,15.75864559,718
2052,11,SSP1-2.6,12.64266674,719
2052,12,SSP1-2.6,9.667186809,720
